metric,family,nativeKind,unit,timeframeMode,transform,legal,operandRequired,sideRequired,chainSuccessors,chainedRankOrderings,rankableSpreadOperands,rankOrderings,spreadOperandCount
OPEN,price,numeric,price,candle,value,yes,,,,,,,
OPEN,price,numeric,price,candle,trajectory,yes,,,,,,,
OPEN,price,numeric,price,candle,distance,yes,,,trajectory|aggregate|efficiency,,,,
OPEN,price,numeric,price,candle,spread,yes,yes,,trajectory|aggregate|efficiency,,,,17
OPEN,price,numeric,price,candle,efficiency,yes,,,,,,,
OPEN,price,numeric,price,candle,bandTouch,yes,,,,,,,
OPEN,price,numeric,price,candle,classifyZone,no,,,,,,,
OPEN,price,numeric,price,candle,maxShare,no,,,,,,,
OPEN,price,numeric,price,candle,rank,no,,,,,,,
OPEN,price,numeric,price,candle,crossDetect,no,,,,,,,
OPEN,price,numeric,price,candle,count,no,,,,,,,
OPEN,price,numeric,price,candle,nearestZoneType,no,,,,,,,
OPEN,price,numeric,price,candle,nearestZoneRange,no,,,,,,,
OPEN,price,numeric,price,candle,nearestZoneDist,no,,,,,,,
OPEN,price,numeric,price,candle,nearestZoneAge,no,,,,,,,
OPEN,price,numeric,price,candle,aggregate,no,,,,,,,
HIGH,price,numeric,price,candle,value,yes,,,,,,,
HIGH,price,numeric,price,candle,trajectory,yes,,,,,,,
HIGH,price,numeric,price,candle,distance,yes,,,trajectory|aggregate|efficiency,,,,
HIGH,price,numeric,price,candle,spread,yes,yes,,trajectory|aggregate|efficiency,,,,17
HIGH,price,numeric,price,candle,efficiency,yes,,,,,,,
HIGH,price,numeric,price,candle,bandTouch,yes,,,,,,,
HIGH,price,numeric,price,candle,classifyZone,no,,,,,,,
HIGH,price,numeric,price,candle,maxShare,no,,,,,,,
HIGH,price,numeric,price,candle,rank,no,,,,,,,
HIGH,price,numeric,price,candle,crossDetect,no,,,,,,,
HIGH,price,numeric,price,candle,count,no,,,,,,,
HIGH,price,numeric,price,candle,nearestZoneType,no,,,,,,,
HIGH,price,numeric,price,candle,nearestZoneRange,no,,,,,,,
HIGH,price,numeric,price,candle,nearestZoneDist,no,,,,,,,
HIGH,price,numeric,price,candle,nearestZoneAge,no,,,,,,,
HIGH,price,numeric,price,candle,aggregate,no,,,,,,,
LOW,price,numeric,price,candle,value,yes,,,,,,,
LOW,price,numeric,price,candle,trajectory,yes,,,,,,,
LOW,price,numeric,price,candle,distance,yes,,,trajectory|aggregate|efficiency,,,,
LOW,price,numeric,price,candle,spread,yes,yes,,trajectory|aggregate|efficiency,,,,17
LOW,price,numeric,price,candle,efficiency,yes,,,,,,,
LOW,price,numeric,price,candle,bandTouch,yes,,,,,,,
LOW,price,numeric,price,candle,classifyZone,no,,,,,,,
LOW,price,numeric,price,candle,maxShare,no,,,,,,,
LOW,price,numeric,price,candle,rank,no,,,,,,,
LOW,price,numeric,price,candle,crossDetect,no,,,,,,,
LOW,price,numeric,price,candle,count,no,,,,,,,
LOW,price,numeric,price,candle,nearestZoneType,no,,,,,,,
LOW,price,numeric,price,candle,nearestZoneRange,no,,,,,,,
LOW,price,numeric,price,candle,nearestZoneDist,no,,,,,,,
LOW,price,numeric,price,candle,nearestZoneAge,no,,,,,,,
LOW,price,numeric,price,candle,aggregate,no,,,,,,,
CLOSE,price,numeric,price,candle,value,yes,,,,,,,
CLOSE,price,numeric,price,candle,trajectory,yes,,,,,,,
CLOSE,price,numeric,price,candle,distance,yes,,,trajectory|aggregate|efficiency,,,,
CLOSE,price,numeric,price,candle,spread,yes,yes,,trajectory|aggregate|efficiency,,,,17
CLOSE,price,numeric,price,candle,efficiency,yes,,,,,,,
CLOSE,price,numeric,price,candle,bandTouch,yes,,,,,,,
CLOSE,price,numeric,price,candle,classifyZone,no,,,,,,,
CLOSE,price,numeric,price,candle,maxShare,no,,,,,,,
CLOSE,price,numeric,price,candle,rank,no,,,,,,,
CLOSE,price,numeric,price,candle,crossDetect,no,,,,,,,
CLOSE,price,numeric,price,candle,count,no,,,,,,,
CLOSE,price,numeric,price,candle,nearestZoneType,no,,,,,,,
CLOSE,price,numeric,price,candle,nearestZoneRange,no,,,,,,,
CLOSE,price,numeric,price,candle,nearestZoneDist,no,,,,,,,
CLOSE,price,numeric,price,candle,nearestZoneAge,no,,,,,,,
CLOSE,price,numeric,price,candle,aggregate,no,,,,,,,
LAST,price,numeric,price,timeless,value,yes,,,,,,,
LAST,price,numeric,price,timeless,trajectory,no,,,,,,,
LAST,price,numeric,price,timeless,distance,yes,,,,,,,
LAST,price,numeric,price,timeless,spread,yes,yes,,,,,,17
LAST,price,numeric,price,timeless,efficiency,no,,,,,,,
LAST,price,numeric,price,timeless,bandTouch,no,,,,,,,
LAST,price,numeric,price,timeless,classifyZone,no,,,,,,,
LAST,price,numeric,price,timeless,maxShare,no,,,,,,,
LAST,price,numeric,price,timeless,rank,no,,,,,,,
LAST,price,numeric,price,timeless,crossDetect,no,,,,,,,
LAST,price,numeric,price,timeless,count,no,,,,,,,
LAST,price,numeric,price,timeless,nearestZoneType,no,,,,,,,
LAST,price,numeric,price,timeless,nearestZoneRange,no,,,,,,,
LAST,price,numeric,price,timeless,nearestZoneDist,no,,,,,,,
LAST,price,numeric,price,timeless,nearestZoneAge,no,,,,,,,
LAST,price,numeric,price,timeless,aggregate,no,,,,,,,
MARK,price,numeric,price,timeless,value,yes,,,,,,,
MARK,price,numeric,price,timeless,trajectory,no,,,,,,,
MARK,price,numeric,price,timeless,distance,yes,,,,,,,
MARK,price,numeric,price,timeless,spread,yes,yes,,,,,,17
MARK,price,numeric,price,timeless,efficiency,no,,,,,,,
MARK,price,numeric,price,timeless,bandTouch,no,,,,,,,
MARK,price,numeric,price,timeless,classifyZone,no,,,,,,,
MARK,price,numeric,price,timeless,maxShare,no,,,,,,,
MARK,price,numeric,price,timeless,rank,no,,,,,,,
MARK,price,numeric,price,timeless,crossDetect,no,,,,,,,
MARK,price,numeric,price,timeless,count,no,,,,,,,
MARK,price,numeric,price,timeless,nearestZoneType,no,,,,,,,
MARK,price,numeric,price,timeless,nearestZoneRange,no,,,,,,,
MARK,price,numeric,price,timeless,nearestZoneDist,no,,,,,,,
MARK,price,numeric,price,timeless,nearestZoneAge,no,,,,,,,
MARK,price,numeric,price,timeless,aggregate,no,,,,,,,
ORACLE,price,numeric,price,timeless,value,yes,,,,,,,
ORACLE,price,numeric,price,timeless,trajectory,no,,,,,,,
ORACLE,price,numeric,price,timeless,distance,yes,,,,,,,
ORACLE,price,numeric,price,timeless,spread,yes,yes,,,,,,17
ORACLE,price,numeric,price,timeless,efficiency,no,,,,,,,
ORACLE,price,numeric,price,timeless,bandTouch,no,,,,,,,
ORACLE,price,numeric,price,timeless,classifyZone,no,,,,,,,
ORACLE,price,numeric,price,timeless,maxShare,no,,,,,,,
ORACLE,price,numeric,price,timeless,rank,no,,,,,,,
ORACLE,price,numeric,price,timeless,crossDetect,no,,,,,,,
ORACLE,price,numeric,price,timeless,count,no,,,,,,,
ORACLE,price,numeric,price,timeless,nearestZoneType,no,,,,,,,
ORACLE,price,numeric,price,timeless,nearestZoneRange,no,,,,,,,
ORACLE,price,numeric,price,timeless,nearestZoneDist,no,,,,,,,
ORACLE,price,numeric,price,timeless,nearestZoneAge,no,,,,,,,
ORACLE,price,numeric,price,timeless,aggregate,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,value,yes,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,trajectory,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,distance,yes,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,spread,yes,yes,,,,,,17
SPOT_CLOSE_CB,price,numeric,price,timeless,efficiency,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,bandTouch,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,classifyZone,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,maxShare,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,rank,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,crossDetect,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,count,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,nearestZoneType,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,nearestZoneRange,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,nearestZoneDist,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,nearestZoneAge,no,,,,,,,
SPOT_CLOSE_CB,price,numeric,price,timeless,aggregate,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,value,yes,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,trajectory,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,distance,yes,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,spread,yes,yes,,,,,,17
SPOT_CLOSE_BN,price,numeric,price,timeless,efficiency,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,bandTouch,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,classifyZone,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,maxShare,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,rank,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,crossDetect,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,count,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,nearestZoneType,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,nearestZoneRange,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,nearestZoneDist,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,nearestZoneAge,no,,,,,,,
SPOT_CLOSE_BN,price,numeric,price,timeless,aggregate,no,,,,,,,
BAR_FORMING,price,classification,,candle,value,yes,,,,,,,
BAR_FORMING,price,classification,,candle,trajectory,no,,,,,,,
BAR_FORMING,price,classification,,candle,distance,no,,,,,,,
BAR_FORMING,price,classification,,candle,spread,no,,,,,,,
BAR_FORMING,price,classification,,candle,efficiency,no,,,,,,,
BAR_FORMING,price,classification,,candle,bandTouch,no,,,,,,,
BAR_FORMING,price,classification,,candle,classifyZone,no,,,,,,,
BAR_FORMING,price,classification,,candle,maxShare,no,,,,,,,
BAR_FORMING,price,classification,,candle,rank,no,,,,,,,
BAR_FORMING,price,classification,,candle,crossDetect,no,,,,,,,
BAR_FORMING,price,classification,,candle,count,no,,,,,,,
BAR_FORMING,price,classification,,candle,nearestZoneType,no,,,,,,,
BAR_FORMING,price,classification,,candle,nearestZoneRange,no,,,,,,,
BAR_FORMING,price,classification,,candle,nearestZoneDist,no,,,,,,,
BAR_FORMING,price,classification,,candle,nearestZoneAge,no,,,,,,,
BAR_FORMING,price,classification,,candle,aggregate,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,value,yes,,,,,,,
RSI14,momentum,numeric,oscillator,candle,trajectory,yes,,,,,,,
RSI14,momentum,numeric,oscillator,candle,distance,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,spread,yes,yes,,trajectory|aggregate|efficiency,,,,6
RSI14,momentum,numeric,oscillator,candle,efficiency,yes,,,,,,,
RSI14,momentum,numeric,oscillator,candle,bandTouch,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,classifyZone,yes,,,,,,,
RSI14,momentum,numeric,oscillator,candle,maxShare,yes,,,,,,,
RSI14,momentum,numeric,oscillator,candle,rank,yes,,,,,,hi|lo,
RSI14,momentum,numeric,oscillator,candle,crossDetect,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,count,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,nearestZoneType,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,nearestZoneRange,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,nearestZoneDist,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,nearestZoneAge,no,,,,,,,
RSI14,momentum,numeric,oscillator,candle,aggregate,no,,,,,,,
RSI7,momentum,numeric,oscillator,candle,value,yes,,,,,,,
RSI7,momentum,numeric,oscillator,candle,trajectory,yes,,,,,,,
RSI7,momentum,numeric,oscillator,candle,distance,no,,,,,,,
RSI7,momentum,numeric,oscillator,candle,spread,yes,yes,,trajectory|aggregate|efficiency,,,,6
RSI7,momentum,numeric,oscillator,candle,efficiency,yes,,,,,,,
RSI7,momentum,numeric,oscillator,candle,bandTouch,no,,,,,,,
RSI7,momentum,numeric,oscillator,candle,classifyZone,yes,,,,,,,
